期數,號碼1,號碼2,號碼3,號碼4,號碼5
2010/04/02(五),7,20,23,31,39
2010/04/05(一),7,17,18,35,37
2010/04/09(五),5,14,18,23,36
2010/04/12(一),12,15,24,30,35
2010/04/13(二),9,12,21,22,27
2010/04/14(三),5,12,15,35,36
2010/04/15(四),1,4,11,18,23
2010/04/16(五),1,5,20,24,37
2010/04/19(一),3,15,19,26,27
2010/04/20(二),4,6,10,28,32
2010/04/21(三),2,3,12,21,25
2010/04/22(四),3,4,5,6,9
2010/04/23(五),8,15,27,35,36
2010/04/26(一),12,22,27,31,39
2010/04/27(二),1,13,19,29,33
2010/04/28(三),5,6,13,37,38
2010/04/29(四),14,15,27,31,35
2010/04/30(五),15,17,21,28,31
2010/05/03(一),5,10,16,19,38
2010/05/04(二),16,22,26,32,36
2010/05/05(三),1,14,19,30,34
2010/05/06(四),3,8,13,23,27
2010/05/12(三),8,13,28,30,36
2010/05/13(四),9,11,22,26,30
2010/05/14(五),2,6,8,15,22
2010/05/17(一),2,12,18,33,38
2010/05/18(二),13,21,22,33,37
2010/05/19(三),1,11,13,20,37
2010/05/20(四),7,13,15,27,39
2010/05/21(五),5,21,28,35,38
2010/05/24(一),10,26,27,35,36
2010/05/25(二),5,6,7,10,14
2010/05/26(三),4,14,17,37,39
2010/05/27(四),2,21,32,33,34
2010/05/28(五),17,22,25,33,39
2010/05/31(一),9,12,15,31,39
2010/06/01(二),2,7,23,24,34
2010/06/02(三),13,17,19,35,39
2010/06/03(四),9,21,33,35,37
2010/06/04(五),15,16,25,30,38
2010/06/07(一),10,21,22,32,35
2010/06/08(二),2,9,26,30,32
2010/06/15(二),17,18,22,31,37
2010/06/16(三),9,17,19,26,39
2010/06/17(四),1,2,9,18,35
2010/06/18(五),3,20,29,33,39
2010/06/21(一),1,16,17,23,31
2010/06/22(二),22,24,27,28,31
2010/06/23(三),2,10,29,36,39
2010/06/24(四),5,6,11,14,22
2010/06/25(五),2,5,21,24,34
2010/06/28(一),13,22,23,27,34
2010/06/29(二),1,2,4,35,37
2010/06/30(三),1,12,34,38,39
2010/07/01(四),10,19,20,23,29
2010/07/02(五),2,4,28,29,30
2010/07/05(一),12,15,28,29,37
2010/07/06(二),4,10,23,25,27
2010/07/07(三),6,16,28,31,35
2010/07/08(四),5,17,20,34,37
2010/07/09(五),3,13,35,36,37
2010/07/15(四),5,7,20,25,36
2010/07/16(五),14,15,28,34,38
2010/07/19(一),3,6,19,23,25
2010/07/20(二),4,8,11,25,33
2010/07/21(三),15,16,26,29,30
2010/07/22(四),8,11,34,35,36
2010/07/23(五),1,14,21,22,39
2010/07/26(一),12,15,21,34,39
2010/07/27(二),13,22,24,25,28
2010/07/28(三),1,7,14,22,23
2010/07/29(四),14,25,26,30,35
2010/07/30(五),7,9,14,24,28
2010/08/02(一),2,7,29,32,33
2010/08/03(二),7,14,27,32,33
2010/08/04(三),14,16,21,31,33
2010/08/05(四),17,26,34,36,38
2010/08/06(五),3,15,27,29,35
2010/08/09(一),9,12,19,26,32
2010/08/10(二),4,17,21,24,32
2010/08/11(三),6,18,34,38,39
2010/08/17(二),2,5,11,17,36
2010/08/18(三),7,19,27,28,29
2010/08/19(四),9,22,26,28,31
2010/08/20(五),2,6,12,21,28
2010/08/23(一),5,6,15,36,38
2010/08/24(二),3,4,8,15,34
2010/08/25(三),1,7,11,31,34
2010/08/26(四),5,13,30,37,38
2010/08/27(五),2,6,12,23,33
2010/08/30(一),4,12,20,34,35
2010/08/31(二),8,10,28,33,34
2010/09/01(三),7,16,18,34,39
2010/09/02(四),8,23,25,28,38
2010/09/03(五),6,11,13,22,36
2010/09/06(一),16,18,35,36,39
2010/09/07(二),1,11,12,28,32
2010/09/08(三),3,14,29,33,38
2010/09/09(四),5,12,14,18,34
2010/09/10(五),5,13,15,23,31
2010/09/13(一),3,6,15,24,31
2010/09/17(五),2,5,9,25,35
2010/09/20(一),3,8,9,15,28
2010/09/21(二),2,8,12,30,34
2010/09/22(三),8,18,23,33,36
2010/09/23(四),15,28,30,31,36
2010/09/24(五),2,9,13,21,33
2010/09/27(一),4,25,30,33,39
2010/09/28(二),14,26,31,35,37
2010/09/29(三),2,14,24,34,37
2010/09/30(四),5,14,16,24,34
2010/10/01(五),13,24,27,28,35
2010/10/04(一),9,13,20,34,35
2010/10/05(二),14,18,23,28,33
2010/10/06(三),14,16,20,22,29
2010/10/07(四),2,19,32,33,39
2010/10/08(五),4,16,18,29,31
2010/10/11(一),1,6,7,24,35
2010/10/12(二),1,8,9,23,39
2010/10/13(三),9,11,21,24,30
2010/10/14(四),5,17,27,28,29
2010/10/20(三),9,11,15,29,37
2010/10/21(四),15,17,18,23,27
2010/10/22(五),1,3,11,19,32
2010/10/25(一),2,5,6,30,36
2010/10/26(二),8,11,12,15,18
2010/10/27(三),2,7,15,27,35
2010/10/28(四),1,6,12,33,37
2010/10/29(五),2,7,11,17,38
2010/11/01(一),9,15,16,21,29
2010/11/02(二),4,6,13,19,20
2010/11/03(三),24,30,31,32,33
2010/11/04(四),1,8,21,26,39
2010/11/05(五),1,4,5,24,37
2010/11/08(一),4,8,12,15,38
2010/11/09(二),4,14,19,31,38
2010/11/10(三),7,25,28,33,36
2010/11/11(四),5,9,24,34,36
2010/11/12(五),6,8,16,21,23
2010/11/15(一),5,6,22,32,39
2010/11/16(二),6,14,24,26,29
2010/11/22(一),4,8,25,35,36
2010/11/23(二),1,27,33,38,39
2010/11/24(三),1,10,16,24,25
2010/11/25(四),3,12,13,19,39
2010/11/26(五),4,9,17,18,20
2010/11/29(一),3,15,19,31,35
2010/11/30(二),4,12,14,19,32
2010/12/01(三),3,18,22,23,33
2010/12/02(四),13,16,18,29,30
2010/12/03(五),3,16,31,32,35
2010/12/06(一),7,16,18,20,34
2010/12/07(二),3,12,25,28,33
2010/12/08(三),1,17,20,28,36
2010/12/09(四),12,13,29,33,34
2010/12/10(五),14,15,25,30,35
2010/12/13(一),15,20,27,37,38
2010/12/14(二),1,11,24,25,30
2010/12/15(三),5,9,20,28,32
2010/12/16(四),2,21,22,37,38
2010/12/17(五),5,9,12,16,29
2010/12/23(四),2,6,8,9,11
2010/12/24(五),10,12,16,34,38
2010/12/27(一),3,15,24,26,34
2010/12/28(二),11,19,22,28,38
2010/12/29(三),6,20,23,26,35
2010/12/30(四),8,12,23,28,29
2010/12/31(五),22,25,30,32,34
2011/01/01(六),2,13,24,25,36
2011/01/03(一),11,13,20,25,35
2011/01/04(二),6,8,10,16,36
2011/01/05(三),5,17,26,29,32
2011/01/06(四),7,28,31,32,36
2011/01/07(五),10,11,18,34,38
2011/01/08(六),3,10,14,18,35
2011/01/10(一),4,10,20,32,39
2011/01/11(二),3,9,13,25,37
2011/01/12(三),1,2,4,21,32
2011/01/13(四),5,14,23,31,32
2011/01/14(五),8,14,27,28,36
2011/01/15(六),8,17,18,30,36
2011/01/20(四),4,15,26,28,31
2011/01/21(五),18,23,31,36,39
2011/01/22(六),3,20,23,24,37
2011/01/24(一),4,6,10,19,25
2011/01/25(二),14,15,18,21,29
2011/01/26(三),7,12,19,25,35
2011/01/27(四),5,14,18,20,37
2011/01/28(五),15,24,33,38,39
2011/01/29(六),5,20,22,35,38
2011/01/31(一),9,16,21,25,36
2011/02/01(二),18,23,26,32,39
2011/02/02(三),6,8,16,22,26
2011/02/03(四),11,12,22,24,39
2011/02/04(五),9,17,25,32,37
2011/02/05(六),8,30,32,37,38
2011/02/07(一),2,13,19,28,37
2011/02/08(二),4,19,24,28,35
2011/02/09(三),5,17,22,36,39
2011/02/10(四),2,3,10,20,28
2011/02/11(五),18,26,28,29,39
2011/02/16(三),2,8,21,22,36
2011/02/17(四),25,29,33,34,37
2011/02/18(五),3,6,8,23,24
2011/02/19(六),8,13,23,26,37
2011/02/21(一),11,19,26,30,33
2011/02/22(二),7,26,34,36,38
2011/02/23(三),1,4,17,24,37
2011/02/24(四),5,11,14,18,20
2011/02/25(五),8,13,24,31,38
2011/02/26(六),4,8,18,22,25
2011/02/28(一),1,7,17,20,35
2011/03/01(二),6,30,36,37,38
2011/03/02(三),7,14,23,27,34
2011/03/03(四),3,4,7,21,38
2011/03/04(五),8,12,33,36,39
2011/03/05(六),2,6,14,33,37
2011/03/07(一),6,8,10,28,32
2011/03/08(二),2,11,12,18,36
2011/03/09(三),7,8,31,32,34
2011/03/10(四),4,9,24,25,35
2011/03/15(二),6,9,23,31,39
2011/03/16(三),9,16,20,33,34
2011/03/17(四),11,21,23,29,30
2011/03/18(五),22,33,36,38,39
2011/03/19(六),2,9,13,25,29
2011/03/21(一),5,11,14,29,38
2011/03/22(二),8,18,27,29,39
2011/03/23(三),5,12,13,14,21
2011/03/24(四),4,17,18,30,34
2011/03/25(五),7,22,23,26,39
2011/03/26(六),2,6,19,23,35
2011/03/28(一),6,25,27,28,29
2011/03/29(二),4,18,28,31,35
2011/03/30(三),1,3,16,27,32
2011/03/31(四),21,22,29,33,36
2011/04/01(五),6,7,28,31,36
2011/04/02(六),2,12,19,33,34
2011/04/04(一),5,7,18,22,31
2011/04/05(二),7,10,11,13,39
2011/04/06(三),11,13,17,20,23
2011/04/11(一),3,9,21,31,32
2011/04/12(二),5,12,21,35,37
2011/04/13(三),6,11,26,30,32
2011/04/14(四),5,8,24,35,37
2011/04/15(五),8,11,16,30,37
2011/04/16(六),5,12,28,30,35
2011/04/18(一),4,10,24,28,30
2011/04/19(二),1,15,32,34,38
2011/04/20(三),2,5,12,15,35
2011/04/21(四),2,20,31,36,37
2011/04/22(五),9,11,14,23,26
2011/04/23(六),16,21,29,30,33
2011/04/25(一),6,10,14,23,32
2011/04/26(二),14,15,29,33,38
2011/04/27(三),2,6,19,38,39
2011/04/28(四),1,16,24,32,38
2011/04/29(五),4,27,28,36,38
2011/04/30(六),2,3,6,24,39
2011/05/02(一),2,19,24,33,36
2011/05/03(二),1,5,7,8,37
2011/05/07(六),11,12,16,21,24
2011/05/09(一),2,12,24,33,38
2011/05/10(二),2,22,24,31,36
2011/05/11(三),3,7,16,35,36
2011/05/12(四),1,14,18,30,34
2011/05/13(五),3,6,13,18,23
2011/05/14(六),2,5,12,26,30
2011/05/16(一),18,19,20,31,38
2011/05/17(二),2,3,7,18,27
2011/05/18(三),9,18,22,33,39
2011/05/19(四),5,16,26,27,37
2011/05/20(五),7,21,33,36,37
2011/05/21(六),12,19,25,29,32
2011/05/23(一),14,15,17,33,35
2011/05/24(二),4,25,28,36,39
2011/05/25(三),2,12,16,36,37
2011/05/26(四),20,26,34,35,37
2011/05/27(五),1,12,13,21,25
2011/05/28(六),4,5,9,34,39
2011/05/30(一),1,2,11,34,36
2011/06/03(五),1,15,24,25,30
2011/06/04(六),22,23,24,34,38
2011/06/06(一),9,22,31,32,34
2011/06/07(二),3,5,13,14,17
2011/06/08(三),13,22,23,29,30
2011/06/09(四),23,26,28,29,35
2011/06/10(五),4,16,21,25,36
2011/06/11(六),8,15,17,29,37
2011/06/13(一),1,2,9,23,38
2011/06/14(二),23,25,26,33,36
2011/06/15(三),13,14,15,26,32
2011/06/16(四),14,26,29,37,38
2011/06/17(五),6,16,24,35,38
2011/06/18(六),2,6,15,21,34
2011/06/20(一),9,13,14,19,35
2011/06/21(二),5,7,13,15,31
2011/06/22(三),19,23,25,34,39
2011/06/23(四),4,21,27,36,39
2011/06/24(五),12,23,25,26,33
2011/06/25(六),14,22,24,32,38
2011/06/30(四),2,4,7,14,30
2011/07/01(五),1,2,10,17,28
2011/07/02(六),3,12,31,34,36
2011/07/04(一),1,2,6,17,30
2011/07/05(二),2,5,21,23,36
2011/07/06(三),2,9,26,34,36
2011/07/07(四),3,20,28,35,39
2011/07/08(五),4,8,15,18,38
2011/07/09(六),9,21,22,25,30
2011/07/11(一),1,3,12,14,18
2011/07/12(二),10,14,17,21,31
2011/07/13(三),9,14,21,32,36
2011/07/14(四),8,9,18,24,33
2011/07/15(五),7,13,14,20,33
2011/07/16(六),8,27,29,32,36
2011/07/18(一),2,12,14,29,39
2011/07/19(二),2,14,32,33,39
2011/07/20(三),16,17,26,31,39
2011/07/21(四),14,15,20,27,30
2011/07/22(五),3,5,10,15,37
2011/07/27(三),20,21,23,26,33
2011/07/28(四),4,9,27,30,36
2011/07/29(五),3,4,16,20,27
2011/07/30(六),1,6,10,13,17
2011/08/01(一),1,10,12,19,24
2011/08/02(二),3,13,22,25,39
2011/08/03(三),3,4,13,14,39
2011/08/04(四),9,10,33,37,38
2011/08/05(五),14,18,22,25,33
2011/08/06(六),14,19,23,24,28
2011/08/08(一),13,15,18,37,39
2011/08/09(二),7,14,22,29,35
2011/08/10(三),16,17,20,22,26
2011/08/11(四),9,13,14,19,37
2011/08/12(五),20,29,34,37,39
2011/08/13(六),4,6,10,18,28
2011/08/15(一),16,23,33,36,38
2011/08/16(二),1,10,18,21,22
2011/08/17(三),3,14,15,20,28
2011/08/18(四),7,8,16,19,34
2011/08/23(二),7,14,15,23,30
2011/08/24(三),13,16,22,35,39
2011/08/25(四),2,3,5,22,37
2011/08/26(五),15,22,28,32,36
2011/08/27(六),1,2,12,29,35
2011/08/29(一),4,7,11,21,34
2011/08/30(二),6,8,10,22,36
2011/08/31(三),6,17,25,34,37
2011/09/01(四),12,22,32,37,38
2011/09/02(五),3,4,10,11,18
2011/09/03(六),19,22,33,34,37
2011/09/05(一),2,11,22,28,35
2011/09/06(二),25,30,32,33,34
2011/09/07(三),9,20,23,27,29
2011/09/08(四),2,15,17,21,36
2011/09/09(五),14,18,26,28,36
2011/09/10(六),2,3,17,23,35
2011/09/12(一),12,18,22,24,39
2011/09/13(二),1,4,9,10,16
2011/09/14(三),13,16,19,23,36
2011/09/19(一),5,11,22,28,35
2011/09/20(二),14,16,32,34,37
2011/09/21(三),4,5,7,15,16
2011/09/22(四),1,10,20,29,32
2011/09/23(五),2,7,15,25,34
2011/09/24(六),19,20,23,29,39
2011/09/26(一),4,8,14,29,33
2011/09/27(二),5,7,14,34,35
2011/09/28(三),7,13,16,27,28
2011/09/29(四),6,12,14,15,28
2011/09/30(五),4,14,21,27,37
2011/10/01(六),2,9,13,23,27
2011/10/03(一),15,16,22,31,39
2011/10/04(二),2,12,18,34,38
2011/10/05(三),17,22,23,33,36
2011/10/06(四),11,14,19,37,38
2011/10/07(五),9,12,23,30,33
2011/10/08(六),7,10,19,27,33
2011/10/10(一),2,18,20,33,34
2011/10/11(二),9,15,20,25,29
2011/10/15(六),11,17,22,26,31
2011/10/17(一),11,30,33,38,39
2011/10/18(二),1,13,18,23,26
2011/10/19(三),15,16,21,23,29
2011/10/20(四),14,22,23,34,39
2011/10/21(五),20,21,24,33,37
2011/10/22(六),2,12,24,35,39
2011/10/24(一),5,21,27,31,34
2011/10/25(二),6,11,28,35,39
2011/10/26(三),1,11,13,22,36
2011/10/27(四),2,16,24,32,35
2011/10/28(五),2,11,16,20,27
2011/10/29(六),3,14,16,25,37
2011/10/31(一),3,12,16,27,38
2011/11/01(二),7,8,26,34,37
2011/11/02(三),10,15,16,23,38
2011/11/03(四),8,19,21,36,39
2011/11/04(五),2,21,33,37,38
2011/11/05(六),2,5,7,18,34
2011/11/07(一),7,16,34,37,39
2011/11/11(五),4,11,19,22,33
2011/11/12(六),14,21,24,33,35
2011/11/14(一),3,5,10,14,30
2011/11/15(二),4,8,9,21,38
2011/11/16(三),12,27,28,29,32
2011/11/17(四),5,11,19,20,36
2011/11/18(五),10,26,28,34,37
2011/11/19(六),5,6,8,9,16
2011/11/21(一),3,4,9,23,25
2011/11/22(二),2,4,10,14,21
2011/11/23(三),2,16,18,28,36
2011/11/24(四),7,9,20,26,34
2011/11/25(五),6,9,12,19,30
2011/11/26(六),12,16,18,22,25
2011/11/28(一),5,9,15,27,30
2011/11/29(二),3,7,12,19,37
2011/11/30(三),5,12,21,22,24
2011/12/01(四),6,10,13,15,20
2011/12/02(五),1,12,18,24,37
2011/12/03(六),5,13,14,32,33
2011/12/08(四),4,5,19,23,34
2011/12/09(五),15,24,27,33,35
2011/12/10(六),8,19,31,35,37
2011/12/12(一),5,6,7,16,22
2011/12/13(二),12,13,27,28,32
2011/12/14(三),5,6,18,20,30
2011/12/15(四),5,7,22,26,31
2011/12/16(五),6,13,27,28,29
2011/12/17(六),1,7,17,20,35
2011/12/19(一),7,8,17,28,34
2011/12/20(二),2,5,7,15,17
2011/12/21(三),2,7,17,25,32
2011/12/22(四),3,10,19,23,33
2011/12/23(五),1,10,23,27,32
2011/12/24(六),23,24,29,35,38
2011/12/26(一),7,22,27,30,33
2011/12/27(二),2,4,5,19,36
2011/12/28(三),3,4,20,24,28
2011/12/29(四),3,13,16,21,30
2011/12/30(五),5,15,17,28,38
2012/01/04(三),3,9,16,25,31
2012/01/05(四),10,17,21,34,39
2012/01/06(五),7,8,15,25,29
2012/01/07(六),3,13,16,24,27
2012/01/09(一),2,4,10,14,35
2012/01/10(二),2,5,21,33,39
2012/01/11(三),6,19,29,38,39
2012/01/12(四),2,10,13,26,38
2012/01/13(五),1,4,17,31,35
2012/01/14(六),9,17,32,34,38
2012/01/16(一),3,9,18,28,29
2012/01/17(二),4,17,22,33,37
2012/01/18(三),4,5,22,27,31
2012/01/19(四),4,5,13,19,29
2012/01/20(五),18,23,28,29,30
2012/01/21(六),6,17,18,33,38
2012/01/23(一),2,7,18,28,29
2012/01/24(二),17,20,22,26,37
2012/01/25(三),9,26,30,35,39
2012/01/26(四),8,10,18,26,36
2012/01/31(二),12,23,26,31,34
2012/02/01(三),4,8,12,32,36
2012/02/02(四),7,16,21,29,30
2012/02/03(五),7,8,23,33,39
2012/02/04(六),12,14,28,32,37
2012/02/06(一),1,25,26,30,37
2012/02/07(二),6,10,24,28,36
2012/02/08(三),3,8,26,32,39
2012/02/09(四),7,14,16,17,38
2012/02/10(五),7,8,15,17,37
2012/02/11(六),1,4,9,15,29
2012/02/13(一),2,6,7,20,26
2012/02/14(二),3,4,20,21,22
2012/02/15(三),2,8,12,16,33
2012/02/16(四),6,7,13,15,21
2012/02/17(五),13,17,32,36,39
2012/02/18(六),9,16,21,37,39
2012/02/20(一),7,25,27,28,35
2012/02/21(二),8,10,22,26,27
2012/02/22(三),3,23,25,30,32
2012/02/27(一),2,12,18,26,37
2012/02/28(二),15,20,26,35,38
2012/02/29(三),6,14,29,30,35
2012/03/01(四),5,9,10,13,15
2012/03/02(五),3,10,20,27,38
2012/03/03(六),1,13,23,25,36
2012/03/05(一),8,11,15,27,36
2012/03/06(二),13,18,20,22,23
2012/03/07(三),3,4,15,19,20
2012/03/08(四),3,4,9,21,34
2012/03/09(五),16,22,27,30,36
2012/03/10(六),10,29,32,34,36
2012/03/12(一),4,24,29,32,35
2012/03/13(二),15,16,27,29,38
2012/03/14(三),6,7,8,10,12
2012/03/15(四),15,24,25,29,30
2012/03/16(五),10,20,23,30,36
2012/03/17(六),12,15,18,23,36
2012/03/19(一),5,10,26,29,35
2012/03/20(二),6,10,13,17,25
2012/03/24(六),8,27,31,32,39
2012/03/26(一),12,15,24,32,37
2012/03/27(二),14,15,17,30,32
2012/03/28(三),12,20,22,31,36
2012/03/29(四),1,13,18,23,39
2012/03/30(五),1,2,3,9,38
2012/03/31(六),8,9,15,21,36
2012/04/02(一),3,5,13,27,32
2012/04/03(二),18,19,21,27,30
2012/04/04(三),11,24,28,37,39
2012/04/05(四),1,8,9,15,32
2012/04/06(五),17,21,22,29,36
2012/04/07(六),4,18,24,29,32
2012/04/09(一),2,9,13,15,25
2012/04/10(二),5,17,19,27,33
2012/04/11(三),4,16,19,22,32
2012/04/12(四),4,6,13,36,37
2012/04/13(五),1,15,29,37,38
2012/04/14(六),3,17,27,28,36
2012/04/16(一),3,11,13,19,21
2012/04/20(五),2,11,18,31,33
2012/04/21(六),2,4,5,13,32
2012/04/23(一),3,20,25,34,36
2012/04/24(二),6,11,22,24,30
2012/04/25(三),13,14,21,31,33
2012/04/26(四),1,2,8,11,14
2012/04/27(五),8,15,17,26,32
2012/04/28(六),4,17,21,29,35
2012/04/30(一),4,8,9,13,32
2012/05/01(二),2,4,13,17,29
2012/05/02(三),3,7,22,24,39
2012/05/03(四),5,14,25,28,36
2012/05/04(五),4,8,19,31,38
2012/05/05(六),8,13,20,27,37
2012/05/07(一),17,20,22,24,37
2012/05/08(二),7,16,22,28,31
2012/05/09(三),14,17,23,25,33
2012/05/10(四),3,5,6,17,30
2012/05/11(五),6,18,20,25,38
2012/05/12(六),4,16,21,34,38
2012/05/17(四),13,14,21,38,39
2012/05/18(五),4,11,12,34,38
2012/05/19(六),12,14,18,28,31
2012/05/21(一),6,13,19,22,23
2012/05/22(二),7,9,18,19,37
2012/05/23(三),6,7,10,37,39
2012/05/24(四),9,23,24,36,39
2012/05/25(五),6,10,16,25,32
2012/05/26(六),14,20,25,29,38
2012/05/28(一),1,4,5,10,32
2012/05/29(二),5,7,14,25,33
2012/05/30(三),5,7,10,20,39
2012/05/31(四),14,18,23,31,39
2012/06/01(五),1,11,28,36,38
2012/06/02(六),1,6,14,16,18
2012/06/04(一),9,13,17,19,34
2012/06/05(二),13,18,21,23,35
2012/06/06(三),1,11,13,25,29
2012/06/07(四),3,33,34,37,39
2012/06/08(五),2,3,10,21,27
2012/06/13(三),1,5,9,17,25
2012/06/14(四),4,17,28,31,33
2012/06/15(五),3,4,10,31,38
2012/06/16(六),7,9,23,32,38
2012/06/18(一),9,12,14,18,26
2012/06/19(二),5,8,27,29,30
2012/06/20(三),5,7,16,23,37
2012/06/21(四),5,6,10,36,38
2012/06/22(五),4,8,11,12,16
2012/06/23(六),1,7,16,25,32
2012/06/25(一),4,21,28,33,37
2012/06/26(二),9,10,27,35,39
2012/06/27(三),1,2,6,21,37
2012/06/28(四),4,10,25,26,27
2012/06/29(五),3,16,20,25,37
2012/06/30(六),3,5,7,27,38
2012/07/02(一),2,6,10,13,27
2012/07/03(二),8,9,16,26,30
2012/07/04(三),5,19,24,28,35
2012/07/05(四),4,21,26,36,39
2012/07/10(二),8,10,12,17,34
2012/07/11(三),6,15,18,34,37
2012/07/12(四),3,5,12,21,33
2012/07/13(五),13,15,17,19,21
2012/07/14(六),5,11,23,32,38
2012/07/16(一),7,31,33,36,37
2012/07/17(二),1,11,13,22,37
2012/07/18(三),4,8,26,28,35
2012/07/19(四),6,9,14,18,35
2012/07/20(五),11,22,27,29,31
2012/07/21(六),5,10,12,30,33
2012/07/23(一),1,6,16,22,38
2012/07/24(二),5,7,11,13,29
2012/07/25(三),22,24,27,34,37
2012/07/26(四),7,9,14,19,23
2012/07/27(五),9,14,24,36,37
2012/07/28(六),15,30,31,32,38
2012/07/30(一),4,17,23,25,37
2012/07/31(二),1,13,16,36,37
2012/08/01(三),8,10,29,33,36
2012/08/06(一),7,18,29,30,33
2012/08/07(二),5,9,11,29,32
2012/08/08(三),11,12,18,33,39
2012/08/09(四),2,14,32,34,38
2012/08/10(五),1,5,18,23,28
2012/08/11(六),15,25,27,28,34
2012/08/13(一),4,17,28,32,39
2012/08/14(二),15,18,19,29,37
2012/08/15(三),4,7,15,19,25
2012/08/16(四),4,18,21,24,32
2012/08/17(五),19,20,24,33,38
2012/08/18(六),4,17,19,20,26
2012/08/20(一),15,26,32,37,39
2012/08/21(二),5,18,22,24,29
2012/08/22(三),1,7,12,25,26
2012/08/23(四),6,19,21,34,36
2012/08/24(五),13,19,23,31,39
2012/08/25(六),11,20,21,29,32
2012/08/27(一),2,6,14,15,17
2012/08/28(二),11,14,18,22,29
2012/09/01(六),16,17,30,32,33
2012/09/03(一),2,23,27,31,39
2012/09/04(二),5,18,21,24,25
2012/09/05(三),5,7,12,18,31
2012/09/06(四),2,3,21,36,37
2012/09/07(五),2,3,4,6,25
2012/09/08(六),7,10,21,25,33
2012/09/10(一),7,17,26,33,37
2012/09/11(二),15,17,29,31,37
2012/09/12(三),1,7,11,19,25
2012/09/13(四),4,7,20,23,35
2012/09/14(五),1,13,16,30,39
2012/09/15(六),4,16,21,31,37
2012/09/17(一),8,22,28,35,39
2012/09/18(二),1,4,6,12,26
2012/09/19(三),2,4,9,10,32
2012/09/20(四),8,13,18,30,35
2012/09/21(五),13,15,23,25,36
2012/09/22(六),1,16,22,24,28
2012/09/24(一),1,14,15,30,37
2012/09/28(五),21,25,33,35,37
2012/09/29(六),7,18,20,29,32
2012/10/01(一),17,27,32,33,38
2012/10/02(二),2,3,14,28,32
2012/10/03(三),2,3,12,14,24
2012/10/04(四),8,16,24,30,32
2012/10/05(五),5,8,13,27,34
2012/10/06(六),17,19,20,23,37
2012/10/08(一),6,11,13,23,34
2012/10/09(二),10,11,23,26,37
2012/10/10(三),13,17,19,27,36
2012/10/11(四),17,27,32,36,38
2012/10/12(五),12,19,23,25,31
2012/10/13(六),1,5,14,17,22
2012/10/15(一),4,14,15,19,23
2012/10/16(二),2,15,20,32,39
2012/10/17(三),9,14,20,22,35
2012/10/18(四),2,17,28,31,36
2012/10/19(五),2,8,25,27,32
2012/10/20(六),16,21,23,35,36
2012/10/25(四),1,3,10,14,38
2012/10/26(五),1,6,14,15,34
2012/10/27(六),14,18,19,23,32
2012/10/29(一),10,15,18,20,22
2012/10/30(二),13,20,30,32,35
2012/10/31(三),11,26,28,34,35
2012/11/01(四),16,22,30,32,34
2012/11/02(五),4,15,17,30,31
2012/11/03(六),4,6,11,16,22
2012/11/05(一),5,7,23,29,39
2012/11/06(二),7,16,24,28,35
2012/11/07(三),4,5,14,28,32
2012/11/08(四),1,4,5,22,32
2012/11/09(五),7,8,17,31,33
2012/11/10(六),2,6,17,28,33
2012/11/12(一),1,13,17,26,38
2012/11/13(二),1,10,22,25,29
2012/11/14(三),3,14,15,23,36
2012/11/15(四),9,31,34,35,37
2012/11/16(五),4,12,21,22,31
2012/11/21(三),12,17,25,32,39
2012/11/22(四),1,7,8,22,39
2012/11/23(五),12,16,22,28,31
2012/11/24(六),3,9,11,13,26
2012/11/26(一),5,8,17,26,35
2012/11/27(二),12,18,22,26,27
2012/11/28(三),8,9,26,36,38
2012/11/29(四),6,16,30,31,38
2012/11/30(五),6,11,27,28,37
2012/12/01(六),2,13,22,33,38
2012/12/03(一),3,26,27,34,37
2012/12/04(二),5,16,19,23,39
2012/12/05(三),1,2,5,12,19
2012/12/06(四),12,17,26,33,37
2012/12/07(五),8,13,18,30,31
2012/12/08(六),6,13,18,31,35
2012/12/10(一),20,26,34,35,37
2012/12/11(二),2,13,14,23,29
2012/12/12(三),2,16,18,24,34
2012/12/13(四),2,13,19,24,32
2012/12/18(二),1,2,8,28,35
2012/12/19(三),13,18,22,29,37
2012/12/20(四),4,12,17,27,38
2012/12/21(五),8,18,32,34,37
2012/12/22(六),3,5,12,29,31
2012/12/24(一),9,15,20,31,35
2012/12/25(二),13,19,20,30,32
2012/12/26(三),8,22,24,27,31
2012/12/27(四),3,17,24,25,30
2012/12/28(五),17,26,28,30,38
2012/12/29(六),8,18,20,28,36
2012/12/31(一),2,5,15,16,31
2013/01/01(二),1,16,22,26,33
2013/01/02(三),1,5,16,29,35
2013/01/03(四),6,13,20,27,29
2013/01/04(五),14,16,17,25,33
2013/01/05(六),2,7,21,26,34
2013/01/07(一),11,21,31,36,39
2013/01/08(二),1,3,20,22,31
2013/01/09(三),17,18,22,31,33
2013/01/14(一),4,5,6,10,39
2013/01/15(二),5,12,13,16,24
2013/01/16(三),1,6,16,17,29
2013/01/17(四),10,13,21,33,38
2013/01/18(五),3,19,29,34,37
2013/01/19(六),3,19,26,33,38
2013/01/21(一),8,14,17,21,29
2013/01/22(二),17,20,25,32,39
2013/01/23(三),5,10,18,24,34
2013/01/24(四),11,18,27,35,39
2013/01/25(五),15,16,25,32,37
2013/01/26(六),4,16,25,30,31
2013/01/28(一),4,6,9,22,33
2013/01/29(二),6,13,26,28,34
